t,B,w_small,ours_best_wall_model,ours_best_wall_ms,kd_wall_ms,wall_speedup_vs_kd,ours_best_sample_model,ours_best_sample_ms,kd_sample_ms,sample_speedup_vs_kd,ours_adaptive_sample_ms,ours_adaptive_phase3_residual_ms,ours_adaptive_phase3_share
100000,10000000,256,ours/sampling,11345.3,nan,nan,ours/sampling,3453.407607,nan,nan,3581.685698,3505.493677,0.9787273291337246
100000,10000000,512,ours/sampling,11157.8,nan,nan,ours/sampling,3451.735238,nan,nan,3554.201352,3469.044951,0.9760406368220862
100000,10000000,1024,ours/sampling,11276.0,nan,nan,ours/sampling,3479.298591,nan,nan,3591.025073,3501.454793,0.9750571833448182
100000,20000000,256,ours/sampling,11261.1,nan,nan,ours/sampling,3473.261078,nan,nan,3571.32858,3487.317187,0.976476151348695
100000,20000000,512,ours/sampling,11182.1,nan,nan,ours/sampling,3458.207809,nan,nan,3545.470266,3459.831571,0.975845603382646
100000,20000000,1024,ours/sampling,11186.2,nan,nan,ours/sampling,3476.319105,nan,nan,3596.908146,3511.131774,0.9761527488280763
100000,50000000,256,ours/sampling,11181.7,nan,nan,ours/sampling,3449.688454,nan,nan,3637.170114,3537.818438,0.9726843472023535
100000,50000000,512,ours/sampling,11220.1,3845.46,0.34272956569014534,ours/sampling,3461.630211,561.497916,0.1622062097261954,3595.303225,3501.219139,0.9738313905359123
100000,50000000,1024,ours/sampling,11237.9,nan,nan,ours/sampling,3462.130728,nan,nan,3554.440876,3469.094324,0.9759887546375381
100000,100000000,256,ours/sampling,11130.0,nan,nan,ours/sampling,3439.317819,nan,nan,3557.740608,3468.190085,0.9748293839076871
100000,100000000,512,ours/sampling,11238.7,nan,nan,ours/sampling,3462.742483,nan,nan,3561.84146,3473.396677,0.9751688041162843
100000,100000000,1024,ours/sampling,11129.0,nan,nan,ours/sampling,3441.960916,nan,nan,3528.802127,3442.72202,0.9756064228307467
300000,10000000,256,ours/sampling,11220.0,nan,nan,ours/sampling,3517.598115,nan,nan,3682.906412,3569.050561,0.9690853260270139
300000,10000000,512,ours/adaptive,11499.9,nan,nan,ours/sampling,3557.049209,nan,nan,3685.089245,3551.778642,0.963824321709202
300000,10000000,1024,ours/sampling,11252.3,nan,nan,ours/sampling,3516.879258,nan,nan,3689.68635,3575.82051,0.9691394256316666
300000,20000000,256,ours/sampling,11252.6,nan,nan,ours/sampling,3532.820415,nan,nan,3653.547108,3537.545573,0.968249612890991
300000,20000000,512,ours/sampling,11315.1,nan,nan,ours/sampling,3558.004735,nan,nan,3671.39591,3555.81515,0.9685185790818184
300000,20000000,1024,ours/sampling,11274.8,nan,nan,ours/sampling,3543.790975,nan,nan,3667.188296,3547.824947,0.9674509898686697
300000,50000000,256,ours/sampling,11382.6,nan,nan,ours/sampling,3558.705921,nan,nan,3649.998522,3531.056324,0.9674130832428869
300000,50000000,512,ours/sampling,11296.9,4820.92,0.4267471607255088,ours/sampling,3545.883902,1532.808341,0.43227820858304006,3661.378939,3542.530075,0.9675398624452513
300000,50000000,1024,ours/sampling,11198.3,nan,nan,ours/sampling,3499.857201,nan,nan,3893.507266,3747.606599,0.9625271876916539
300000,100000000,256,ours/sampling,11314.9,nan,nan,ours/sampling,3531.135921,nan,nan,3628.188425,3499.088685,0.964417575694129
300000,100000000,512,ours/sampling,11410.7,nan,nan,ours/sampling,3544.200659,nan,nan,3636.914101,3518.625603,0.9674755865233453
300000,100000000,1024,ours/sampling,11356.0,nan,nan,ours/sampling,3550.293553,nan,nan,3612.658328,3494.259357,0.9672266347242567
